subjID	trial_number	RT	prob	reward_var	reward_fix	outcome	types	ambig	choice
6	77	520	0.5	337	50	0	ambiguous	0.25	1
6	78	4407	0.25	99	50	0	low	0	0
6	79	5193	0.5	54	50	50	ambiguous	0.25	0
6	80	3191	0.5	91	50	0	ambiguous	0.5	1
6	81	390	0.5	176	50	0	ambiguous	0.5	1
6	82	7450	0.5	341	50	341	ambiguous	0.75	1
6	83	2018	0.5	337	50	50	ambiguous	0.75	0
6	84	1206	0.5	184	50	0	ambiguous	0.75	0
6	85	1363	0.125	648	50	0	low	0	0
6	86	3957	0.5	338	50	0	ambiguous	0.5	1
6	87	6344	0.125	176	50	0	low	0	0
6	88	5897	0.5	99	50	0	ambiguous	0.75	0
6	89	1421	0.5	338	50	50	ambiguous	0.75	0
6	90	885	0.5	176	50	0	ambiguous	0.75	0
